,매장 이름,매장 주소,전화 번호
0,개포1호,서울 강남구 개포동 1229-18,"02 -573-5699,5499"
1,개포2호,서울 강남구 개포동 158-4,02 -5779667
2,논현1호(서울),서울 강남구 논현동 164-16,02 -540-2182
3,대치1호,서울 강남구 대치동936,02 -556-3599
4,대치2호,서울 강남구 대치동 989-4,02 -556-9963
5,도곡,서울 강남구 도곡동 416-4,02 -6494-0103
6,삼성1호,서울 강남구 삼성동 44-18,02 -515-2399
7,세곡,서울 강남구 자곡동 611,02 -2226-1991
8,압구정신사,서울 강남구 신사동 640-5 대성빌딩 1층 1호,02 -547-9945
9,역삼1호,서울 강남구 역삼동 837-15,02 -566-9942
10,일원1동,서울 강남구 일원동 645,02 -459-1006
11,일원본동,서울 강남구 수서동 747 삼성아파트 상가 104호,02 -2226-4080
12,청담역,서울 강남구 청담동 65 진흥아파트상가,"02 -515-9995,515-9975"
13,강일,서울 강동구 강일동 679-3 리슈빌오피스텔,"02 -426-6692,6696"
14,고덕1호(서울),서울 강동구 고덕동 650-1,02 -481-9503~4
15,길1호,서울 강동구 길동 347-31,02 -473-0092
16,길동역,서울 강동구 길동 388-3,02 -478-6780
17,둔촌1호,서울 강동구 둔촌동 454-5,02 -475-9295
18,명일1호,서울 강동구 명일동 328-2,02 -3426-9199
19,상일,서울 강동구 고덕동 200-3,02 -441-1991
20,성내,서울 강동구 성내2동 509-7 1층,02 -485-9293
21,암사1호,서울 강동구 암사동 504-37,02 -426-8533
22,암사2호,서울 강동구 암사동 446-18,02 -427-9982
23,천호1호,서울 강동구 천호동 571,02 -470-9908
24,덕성여대,서울 강북구 우이동 72-133,02 -900-3123
25,미아1호,서울 강북구 미아동 561-2 현대성우아파트 상가 104호,02 -987-9280
26,미아사거리,서울 강북구 미아동 55-5,02 -984-3434
27,미아역,서울 강북구 미아동 131-8,02 -989-6288
28,번동,서울 강북구 번동 169-1,02 -981-0991
29,수유1호,서울 강북구 수유동 385-2,02 -994-8911~2
30,수유역점,서울 강북구 번동 461-127,02 -903-3693
31,가양,서울 강서구 등촌동 75-1,02 -3665-3433
32,강서구청,서울 강서구 화곡동 986-16,02 -2699-3999
33,까치산역,서울 강서구 화곡동 343-62 라인씨티 1층,02 -2602-1991
34,등촌,서울 강서구 등촌동 649-14,02 -2647-2328
35,마곡1호,서울 강서구 강서로 마곡동 784-11 마곡오드카운티1차 111호,02 -3662-5556
36,마곡역,서울 강서구 마곡동 774-1,02 -3664-1991
37,발산,서울 강서구 내발산동 648-15,02 -2663-6077
38,방화1호,서울 강서구 방화동 571-1,02 -2661-1990
39,방화2호,서울 강서구 방화2동 580-27,02 -2666-9559
40,염창,서울 강서구 염창동 249-5,02 -3662-9238
41,화곡2호,서울 강서구 화곡동 400-45,02 -2692-9279
42,봉천1호,서울 관악구 봉천동 861-7,02 -882-2999
43,봉천2호,서울 관악구 봉천동 1674-20,02 -882-1107
44,봉천3호,서울 관악구 봉천동 1632-9,"02 -888-2366,887-3998"
45,봉천4호,서울 관악구 봉천동 931-12,02 -884-9991
46,봉천5호,서울 관악구 봉천3동 7-291,"02 -889-2299,6699"
47,신림1호,서울 관악구 신림동 518-56,02 -867-1192
48,신림2호,서울 관악구 신림동 1680-15,"02 -857-9992,857-9799"
49,신림3호,서울 관악구 신림동 241-66,02 -877-3688
50,신림4호,서울 관악구 신림동 706-6,02 -851-0708
51,건대,서울 광진구 화양동 9-18,02 -462-1991
52,광장,서울 광진구 광장동 530-13,02 -453-9292
53,구의역,서울 광진구 구의동 257-70,02 -453-9995
54,자양1호,서울 광진구 자양3동 584-28,02 -452-8593~4
55,자양2호,서울 광진구 자양동 624-42,02 -458-1991
56,중곡1호,서울 광진구 중곡동 243-1,02 -446-9908
57,중곡2호,서울 광진구 중곡동 24-2,02 -453-9288
58,개봉1호,서울 구로구 개봉동 403-159,02 -2066-9244~5
59,고척1호,서울 구로구 개봉1동 126-4,02 -2060-4940
60,구로2호,서울 구로구 구로동 74-30,02 -854-1004
61,구로디지털,서울 구로구 구로동 826-1,02 -856-5542
62,남구로,서울 구로구 구로동 704-38,02 -837-1999
63,동양미래대학,서울 구로구 고척동 343,02 -2060-1991
64,신도림1호,서울 구로구 신도림동 648 신도림6차대림아파트 상가 902동 111호,02 -2675-9288
65,오류1호,서울 구로구 오류1동 10-3,02 -2060-9277
66,천왕역,서울 구로구 오류동 203-1 1층,02 -2616-1991
67,가산디지털,서울 금천구 가산동 371-6 가산비지니스센터 2층,02 -865-0865
68,독산1호,서울 금천구 독산동 961-10,02 -868-8788
69,독산2동,서울 금천구 독산동 1059-4,02 -805-1991
70,시흥1호,서울 금천구 시흥2동 264-17,02 -806-9990 807-9990
71,시흥2호,서울 금천구 시흥1동 905-5,02 -806-9911
72,공릉1호,서울 노원구 공릉동 338-6,02 -974-3999
73,공릉2호,서울 노원구 공릉동 461-1,02 -975-9991
74,공릉3호,서울 노원구 공릉동 568-27,02 -973-3330
75,상계4단지,서울 노원구 상계동 749-5,02 -937-4785
76,상계보람,서울 노원구 상계동 456-70,02 -952-7123
77,상계역,서울 노원구 중계동 137-39,02 -933-9829
78,석계역,서울 노원구 월계1동 73-13,"02 -909-9229,5297"
79,수락산역,서울 노원구 상계동 1118,02 -936-1212
80,인덕대,서울 노원구 월계동 951 월계센트럴아이파크 상가동 101호,02 -908-1991
81,중계1호,서울 노원구 중계1동 360-9,02 -933-9992
82,중계역,서울 노원구 중계동 503,02 -978-9255
83,하계1호,서울 노원구 하계1동 251 청구상가 201동 101호,02 -976-4882
84,도봉동,서울 도봉구 도봉2동 623-163,02 -956-8892
85,방학,서울 도봉구 방학동 659-32,02 -956-7005
86,쌍문1호,서울 도봉구 방학동 263-56,02 -955-7999
87,쌍문역,서울 도봉구 쌍문3동 88-127,"02 -905-9292,9294"
88,창3동,서울 도봉구 창동 568-2,02 -999-5222
89,창동,서울 도봉구 창동 296-37,"02 -905-8292,8290"
90,경희대,서울 동대문구 회기동 42-16,02 -963-5353
91,답십리1호,서울 동대문구 답십리동 53-50,02 -2214-7782
92,서울시립대,서울 동대문구 전농동 295-5,02 -2243-1560~1
93,신이문,서울 동대문구 이문동 255-222,02 -963-9998
94,안암,서울 동대문구 제기동 142-8,02 -923-3363
95,용두,서울 동대문구 왕산로28길 55,02 -967-1991
96,장안1호,서울 동대문구 전농동 1-171,02 -2216-0092
97,장안2호,서울 동대문구  장안동 375-3,02 -2249-9599
98,청량리역,서울 동대문구 청량리동 50-3,02 -957-0001~2
99,노량진,서울 동작구 노량진동 37-1,"02 -816-8999,9959"
100,사당1호,서울 동작구 사당3동 155-2 1F,02 -3477-9945~6
101,사당3호,서울 동작구 사당동 220-119,"02 -3471-9292,9282"
102,상도,서울 동작구 상도동 535 상도2차 두산위브트레지움아파트 상가,02 -3280-1932
103,상도터널,서울 동작구 상도동 159-26,02 -815-8833
104,신대방,서울 동작구 신대방동 607-28,02 -846-9992
